1.2158682,44.8925115,148.9,frame_00000.jpg,0.0000
1.2159921,44.8888331,144.9,frame_00001.jpg,0.5373
1.2163943,44.8850893,139.7,frame_00002.jpg,1.0057
1.2155486,44.8806424,134.2,frame_00003.jpg,1.5077
1.2172561,44.8768749,130.0,frame_00004.jpg,2.0070
1.2183676,44.8726360,139.9,frame_00005.jpg,2.5028
1.2223998,44.8695188,176.4,frame_00006.jpg,3.0284
1.2226387,44.8652623,165.8,frame_00007.jpg,3.5286
1.2240366,44.8611706,151.1,frame_00008.jpg,4.0066
1.2234027,44.8567605,165.2,frame_00009.jpg,4.5194
1.2248403,44.8531951,160.5,frame_00010.jpg,5.0293
1.2260883,44.8494079,157.6,frame_00011.jpg,5.5079
1.2292236,44.8458049,143.2,frame_00012.jpg,6.0094
1.2276463,44.8415668,132.7,frame_00013.jpg,6.5111
1.2292640,44.8367385,121.3,frame_00014.jpg,7.0678
1.2279880,44.8323561,126.5,frame_00015.jpg,7.5899
1.2260194,44.8290396,108.9,frame_00016.jpg,8.0475
1.2227835,44.8287304,83.3,frame_00017.jpg,8.5383
1.2187902,44.8261740,92.6,frame_00018.jpg,9.0559
1.2137967,44.8240264,92.0,frame_00019.jpg,9.5291
1.2111967,44.8200895,86.7,frame_00020.jpg,10.0535
1.2078711,44.8161612,91.0,frame_00021.jpg,10.5677
1.2035309,44.8139549,91.8,frame_00022.jpg,11.0090
1.1972538,44.8150470,104.0,frame_00023.jpg,11.5360
1.1938453,44.8186739,92.9,frame_00024.jpg,12.0303
1.1899414,44.8218007,80.2,frame_00025.jpg,12.5011
1.1857703,44.8242624,72.1,frame_00026.jpg,13.0106
1.1799656,44.8266619,72.2,frame_00027.jpg,13.5436
1.1750123,44.8255453,73.2,frame_00028.jpg,14.0009
1.1683570,44.8241006,75.0,frame_00029.jpg,14.5558
1.1634698,44.8222121,73.9,frame_00030.jpg,15.0020
1.1576262,44.8226705,79.3,frame_00031.jpg,15.5180
1.1550204,44.8186712,71.4,frame_00032.jpg,16.0035
1.1520581,44.8147278,76.3,frame_00033.jpg,16.5020
1.1494090,44.8171214,71.1,frame_00034.jpg,17.0329
1.1477684,44.8214212,73.2,frame_00035.jpg,17.5258
1.1462193,44.8259144,71.1,frame_00036.jpg,18.0472
1.1451592,44.8301644,72.7,frame_00037.jpg,18.5324
1.1412267,44.8318728,78.1,frame_00038.jpg,19.0075
1.1346376,44.8323471,73.9,frame_00039.jpg,19.5278
1.1285261,44.8325072,73.9,frame_00040.jpg,20.0126
1.1230103,44.8306481,87.2,frame_00041.jpg,20.5217
1.1182979,44.8277153,73.9,frame_00042.jpg,21.0283
1.1167207,44.8242928,75.4,frame_00043.jpg,21.5068
1.1157691,44.8237137,95.0,frame_00044.jpg,22.0277
1.1108303,44.8225175,104.5,frame_00045.jpg,22.5395
1.1074650,44.8212053,103.7,frame_00046.jpg,23.0271
1.1010428,44.8215608,107.4,frame_00047.jpg,23.5639
1.0967678,44.8239702,92.3,frame_00048.jpg,24.0160
1.0922013,44.8264924,67.8,frame_00049.jpg,24.5059
1.0882962,44.8299107,65.8,frame_00050.jpg,25.0248
1.0824708,44.8319219,66.6,frame_00051.jpg,25.5332
1.0764166,44.8335750,65.3,frame_00052.jpg,26.0536
1.0726779,44.8341068,70.0,frame_00053.jpg,26.5001
1.0686543,44.8373584,66.5,frame_00054.jpg,27.0296
1.0678086,44.8415167,62.4,frame_00055.jpg,27.5024
1.0529422,44.8489567,63.3,frame_00056.jpg,29.0312
1.0479381,44.8518132,62.3,frame_00057.jpg,29.5321
1.0427325,44.8538440,62.7,frame_00058.jpg,30.0092
1.0382850,44.8568774,62.6,frame_00059.jpg,30.5244
1.0397030,44.8610261,63.1,frame_00060.jpg,31.0088
1.0399847,44.8645036,64.3,frame_00061.jpg,31.5039
1.0344347,44.8626201,63.4,frame_00062.jpg,32.0442
1.0305717,44.8593429,63.5,frame_00063.jpg,32.5161
1.0251274,44.8576575,63.3,frame_00064.jpg,33.0083
1.0205720,44.8553563,67.2,frame_00065.jpg,33.5261
1.0196672,44.8510853,65.9,frame_00066.jpg,34.0202
1.0171277,44.8470381,65.0,frame_00067.jpg,34.5191
1.0146082,44.8442978,62.4,frame_00068.jpg,35.0027
1.0117706,44.8403123,61.2,frame_00069.jpg,35.5254
1.0070348,44.8370902,61.0,frame_00070.jpg,36.0572
1.0025815,44.8344730,60.5,frame_00071.jpg,36.5127
0.9975487,44.8345898,65.5,frame_00072.jpg,37.0591
0.9929349,44.8319308,62.8,frame_00073.jpg,37.5255
0.9910788,44.8282094,62.7,frame_00074.jpg,38.0584
0.9895850,44.8239433,62.8,frame_00075.jpg,38.5472
0.9868800,44.8208185,74.5,frame_00076.jpg,39.0093
0.9910933,44.8181508,84.8,frame_00077.jpg,39.5590
